Text,Label
"I love this product!",1
"This is the worst experience ever.",0
"Amazing quality and service!",1
"I hate it.",0
"Very satisfied with my purchase.",1
"Not happy at all.",0
"Superb experience, highly recommend.",1
"Terrible, never buying this again.",0
"Decent product, nothing special.",1
"Awful customer support.",0
"Fantastic item, exceeded expectations!",1
"Worst decision ever.",0
"Highly enjoyable, will buy again.",1
"Totally disappointed, waste of money.",0
"Excellent craftsmanship!",1
"Extremely poor quality.",0
"Loved it, five stars!",1
"Horrible, do not recommend.",0
"Great value for the price.",1
"Not worth the money.",0
"Exceptional service, very pleased.",1
"Terrible experience from start to finish.",0
"Works as expected, happy with it.",1
"Broke within a week, awful.",0
"A delightful purchase!",1
"Would never buy this again.",0
"Quality is top-notch!",1
"Completely dissatisfied.",0
"Best product I’ve ever used!",1
"Such a letdown, avoid at all costs.",0
"Very convenient and easy to use.",1
"Customer service was useless.",0
"Perfect for my needs.",1
"Doesn’t work as advertised.",0
"Highly recommended!",1
"Total rip-off.",0
"Great design and performance.",1
"Regret this purchase.",0
"Absolutely love it!",1
"Defective upon arrival.",0
"She is good.",1
"She is terrible.",0
"He is great.",1
"Not bad at all.",1
"She is terrible.",0
"How beautiful you are.",1
"He is awful.",0
"He is good.",1
"She is bad.",0
"I like you very.",
"He is bad.",0
